TimeStamp, Role, Frame#, EyeGazePos, EyeGazeDir, GazeHitPoint, GazeHitNormal, DwellDuration, IsFixation, CurrentHitObject
18.46,,989,"0.42,1.60,-0.50","-0.12,0.06,0.99","0.17,1.72,1.59","-0.04,0.36,-0.93",0.05655479,True,Object4(Clone)
18.53,,993,"0.42,1.60,-0.51","-0.12,0.06,0.99","0.17,1.72,1.59","0.00,0.38,-0.92",0.1242466,True,Object4(Clone)
18.59,,995,"0.42,1.60,-0.51","-0.03,0.00,1.00","0.35,1.59,1.59","0.02,0.00,-1.00",0.1858654,False,Object4_2_5_1
18.64,,998,"0.42,1.60,-0.51","-0.03,0.00,1.00","0.35,1.59,1.59","0.02,0.00,-1.00",0.05260849,True,Object4_2_5_1
18.69,,1001,"0.42,1.60,-0.51","-0.03,-0.01,1.00","0.36,1.59,1.59","0.02,0.00,-1.00",0.1027718,True,Object4_2_5_1
18.75,,1003,"0.42,1.60,-0.51","-0.03,-0.01,1.00","0.36,1.59,1.59","0.02,0.00,-1.00",0.1603889,True,Object4_2_5_1
18.81,,1006,"0.42,1.60,-0.51","-0.03,-0.01,1.00","0.36,1.59,1.59","0.02,0.00,-1.00",0.2193871,True,Object4_2_5_1
18.86,,1008,"0.42,1.60,-0.51","-0.02,-0.02,1.00","0.37,1.57,1.59","0.06,-0.15,-0.99",0.2709732,True,Cylinder
18.93,,1011,"0.42,1.60,-0.51","0.00,-0.19,0.98","0.42,1.20,1.60","-0.15,0.07,-0.99",0.06506348,False,Cell(Clone)
18.98,,1014,"0.42,1.60,-0.51","-0.01,-0.21,0.98","0.40,1.16,1.60","0.02,0.00,-1.00",0.05257797,True,Cell(Clone)
19.05,,1018,"0.42,1.60,-0.51","-0.20,-0.26,0.95","-0.01,1.04,1.59","0.03,-0.03,-1.00",0.066679,False,Object1_0_1_2
19.11,,1020,"0.42,1.59,-0.50","-0.20,-0.28,0.94","-0.01,0.98,1.59","-0.05,0.05,-1.00",0.06025124,True,Object3_0_1_0
19.17,,1023,"0.42,1.59,-0.50","-0.20,-0.30,0.93","-0.02,0.92,1.59","0.00,-0.03,-1.00",0.05963898,True,Quad
19.22,,1025,"0.41,1.59,-0.51","-0.10,-0.16,0.98","0.20,1.26,1.58","-0.04,-0.12,-0.99",0.05660057,False,Cylinder
19.45,,1034,"0.41,1.58,-0.51","-0.13,-0.23,0.96","0.12,1.09,1.60","0.00,0.00,-1.00",0.2250404,True,Cell(Clone)
19.61,,1041,"0.41,1.58,-0.50","-0.16,-0.38,0.91","0.05,0.77,1.59","0.00,-0.72,-0.70",0.1635723,False,Quad
19.68,,1044,"0.41,1.58,-0.50","-0.15,-0.38,0.91","0.07,0.77,1.59","0.00,-0.77,-0.64",0.07231331,True,Quad
19.74,,1047,"0.41,1.58,-0.50","-0.14,-0.37,0.92","0.08,0.77,1.59","0.11,-0.37,-0.92",0.131525,True,Quad
19.80,,1050,"0.41,1.58,-0.50","-0.03,-0.34,0.94","0.36,0.84,1.59","-0.26,0.11,-0.96",0.1916275,False,Object4_2_0_1
19.85,,1053,"0.41,1.58,-0.50","-0.03,-0.34,0.94","0.35,0.85,1.59","0.00,0.00,-1.00",0.0507946,True,Quad
19.92,,1056,"0.41,1.58,-0.50","-0.03,-0.33,0.94","0.35,0.87,1.59","-0.07,-0.19,-0.98",0.06772804,True,Cube
19.98,,1058,"0.41,1.58,-0.50","-0.02,-0.32,0.95","0.36,0.88,1.59","-0.05,0.05,-1.00",0.05610466,True,Cube
20.03,,1061,"0.41,1.58,-0.50","-0.02,-0.32,0.95","0.36,0.88,1.59","0.07,-0.07,-0.99",0.106144,True,Object1_2_0_3
20.08,,1064,"0.41,1.58,-0.50","-0.02,-0.33,0.95","0.36,0.88,1.58","0.15,-0.15,-0.98",0.05391502,True,Object1_2_0_3
20.17,,1068,"0.41,1.58,-0.50","0.00,-0.32,0.95","0.39,0.88,1.59","0.22,0.35,-0.91",0.1406879,True,Quad
20.23,,1071,"0.41,1.58,-0.50","0.01,-0.31,0.95","0.43,0.92,1.59","-0.12,-0.26,-0.96",0.05898094,True,Quad
20.30,,1074,"0.41,1.58,-0.50","0.00,-0.31,0.95","0.43,0.92,1.59","-0.18,-0.28,-0.94",0.07559586,True,Quad
20.36,,1077,"0.41,1.58,-0.50","0.00,-0.31,0.95","0.43,0.92,1.59","-0.12,-0.24,-0.96",0.1334953,True,Quad
20.45,,1081,"0.42,1.58,-0.50","0.00,-0.32,0.95","0.41,0.90,1.60","-0.03,0.00,-1.00",0.2220955,True,Cell(Clone)
20.50,,1082,"0.42,1.58,-0.50","0.01,-0.31,0.95","0.43,0.92,1.59","0.00,-0.03,-1.00",0.05057144,True,Quad
20.62,,1085,"0.42,1.58,-0.50","0.01,-0.29,0.96","0.45,0.96,1.59","-0.06,-0.06,-1.00",0.1165333,True,Cube
20.68,,1088,"0.42,1.58,-0.50","0.01,-0.29,0.96","0.45,0.97,1.59","-0.08,-0.10,-0.99",0.06094551,True,Object1_3_1_0
20.74,,1090,"0.42,1.58,-0.50","0.01,-0.29,0.96","0.45,0.97,1.59","-0.07,-0.04,-1.00",0.06393242,True,Object1_3_1_0
20.80,,1093,"0.42,1.58,-0.50","0.01,-0.29,0.96","0.45,0.97,1.59","-0.08,0.00,-1.00",0.1265469,True,Object1_3_1_0
20.86,,1097,"0.42,1.58,-0.50","0.01,-0.29,0.96","0.45,0.98,1.59","-0.02,0.00,-1.00",0.1875935,True,Object1_3_1_0
20.93,,1100,"0.42,1.58,-0.50","0.01,-0.29,0.96","0.46,0.98,1.59","-0.08,-0.08,-0.99",0.2532158,True,Object1_3_1_0
20.99,,1103,"0.42,1.58,-0.50","0.01,-0.28,0.96","0.46,0.98,1.59","-0.03,-0.03,-1.00",0.3147964,True,Object1_3_1_0
21.05,,1104,"0.42,1.59,-0.51","-0.08,-0.22,0.97","0.25,1.11,1.60","0.06,0.00,-1.00",0.3759136,False,Cell(Clone)
21.11,,1106,"0.42,1.59,-0.51","-0.08,-0.22,0.97","0.25,1.12,1.60","0.04,0.00,-1.00",0.05638123,True,Cell(Clone)
21.16,,1109,"0.43,1.58,-0.51","0.03,-0.28,0.96","0.46,0.99,1.59","0.35,0.08,-0.93",0.1073799,False,Object1_3_1_0
21.23,,1112,"0.43,1.58,-0.51","0.03,-0.27,0.96","0.49,1.02,1.59","-0.15,0.00,-0.99",0.06829453,True,Quad
21.29,,1116,"0.43,1.58,-0.51","0.03,-0.25,0.97","0.49,1.04,1.59","-0.20,0.11,-0.97",0.06405258,True,Quad
21.36,,1119,"0.43,1.58,-0.51","-0.09,-0.21,0.97","0.24,1.14,1.59","0.08,0.00,-1.00",0.129261,False,Quad
21.42,,1123,"0.43,1.59,-0.51","-0.09,-0.21,0.97","0.24,1.15,1.59","0.11,0.00,-0.99",0.06134033,True,Quad
21.49,,1127,"0.43,1.59,-0.51","0.00,-0.24,0.97","0.44,1.08,1.60","0.00,0.00,-1.00",0.1343861,False,Cell(Clone)
21.56,,1130,"0.42,1.59,-0.51","0.13,-0.26,0.96","0.70,1.04,1.59","0.09,-0.01,-1.00",0.06731033,False,Quad
21.64,,1134,"0.42,1.59,-0.51","0.13,-0.25,0.96","0.68,1.05,1.58","0.51,-0.07,-0.86",0.08075523,True,Object2_4_1_3
21.70,,1138,"0.42,1.59,-0.51","0.13,-0.24,0.96","0.70,1.08,1.59","0.07,-0.12,-0.99",0.05970573,True,Quad
21.76,,1142,"0.44,1.59,-0.51","-0.07,-0.17,0.98","0.29,1.21,1.59","-0.09,0.26,-0.96",0.06075478,False,Object3_2_2_2
21.81,,1144,"0.44,1.59,-0.51","-0.07,-0.18,0.98","0.29,1.21,1.59","0.00,0.07,-1.00",0.05200958,True,Object3_2_2_2
21.88,,1148,"0.43,1.59,-0.52","-0.07,-0.18,0.98","0.30,1.20,1.59","-0.07,0.07,-0.99",0.1156807,True,Object3_2_2_2
21.96,,1152,"0.43,1.59,-0.52","-0.07,-0.19,0.98","0.29,1.19,1.59","-0.05,0.05,-1.00",0.1968594,True,Object3_2_2_2
22.03,,1156,"0.43,1.59,-0.52","-0.07,-0.19,0.98","0.29,1.19,1.59","-0.03,0.03,-1.00",0.2713776,True,Object3_2_2_2
22.08,,1159,"0.43,1.59,-0.52","-0.07,-0.19,0.98","0.30,1.20,1.59","-0.08,0.08,-0.99",0.3217335,True,Object3_2_2_2
22.14,,1162,"0.43,1.59,-0.52","-0.07,-0.18,0.98","0.30,1.20,1.59","-0.12,0.12,-0.99",0.3824539,True,Object3_2_2_2
22.19,,1165,"0.43,1.59,-0.52","-0.07,-0.18,0.98","0.30,1.20,1.58","-0.17,0.17,-0.97",0.4330006,True,Object3_2_2_2
22.26,,1169,"0.43,1.59,-0.52","-0.07,-0.18,0.98","0.30,1.20,1.59","-0.13,0.13,-0.98",0.5017776,True,Object3_2_2_2
22.32,,1171,"0.43,1.59,-0.52","-0.07,-0.19,0.98","0.30,1.20,1.59","-0.05,0.05,-1.00",0.5582829,True,Object3_2_2_2
22.38,,1174,"0.43,1.59,-0.52","-0.07,-0.19,0.98","0.29,1.19,1.59","0.03,-0.03,-1.00",0.6180668,True,Object3_2_2_2
22.44,,1177,"0.43,1.59,-0.52","-0.07,-0.19,0.98","0.29,1.19,1.59","0.05,-0.05,-1.00",0.6768131,True,Object3_2_2_2
22.50,,1181,"0.43,1.59,-0.52","-0.06,-0.19,0.98","0.31,1.17,1.58","-0.18,0.21,-0.96",0.7342682,True,Capsule
22.56,,1183,"0.43,1.59,-0.52","0.04,-0.23,0.97","0.52,1.11,1.59","0.13,-0.13,-0.98",0.06084633,False,Cube
22.61,,1186,"0.43,1.59,-0.52","0.04,-0.23,0.97","0.52,1.11,1.59","0.15,-0.11,-0.98",0.05327797,True,Cube
22.68,,1189,"0.43,1.59,-0.52","0.04,-0.23,0.97","0.52,1.11,1.59","0.12,-0.14,-0.98",0.1189842,True,Cube
22.73,,1192,"0.43,1.59,-0.52","0.04,-0.23,0.97","0.52,1.11,1.59","0.12,-0.01,-0.99",0.1713371,True,Cube
22.79,,1196,"0.43,1.59,-0.52","0.04,-0.22,0.97","0.53,1.13,1.59","-0.08,-0.16,-0.98",0.2375984,True,Object1_3_2_1
22.86,,1199,"0.43,1.59,-0.52","0.04,-0.22,0.97","0.53,1.13,1.59","-0.08,-0.11,-0.99",0.06625557,True,Object1_3_2_1
22.91,,1202,"0.44,1.59,-0.52","-0.10,-0.19,0.98","0.23,1.18,1.59","0.00,0.00,-1.00",0.1168213,False,Quad
22.98,,1205,"0.44,1.59,-0.52","-0.10,-0.19,0.98","0.24,1.18,1.59","0.00,0.00,-1.00",0.06703186,True,Quad
23.04,,1209,"0.43,1.59,-0.52","-0.09,-0.19,0.98","0.22,1.19,1.59","0.28,-0.05,-0.96",0.132328,True,Object2_1_2_3
23.10,,1211,"0.43,1.59,-0.52","-0.09,-0.18,0.98","0.22,1.21,1.59","0.25,0.00,-0.97",0.05421448,True,Object2_1_2_3
